0584,nanoRiscimx6,nRimx6
1006,q7imx6plus
0568,nanoRiscam335x,nRam335x
C984,Baytrail,Q7-BT,C6C-BT
01003,Skylake
01004,Braswell,Q7-BW,C6C-BW
01011,ApolloLake,Q7-AL,C6C-AL
